rok,total,dolnoslaskie,kujawsko-pomorskie,lubelskie,lubuskie,lodzkie,malopolskie,mazowieckie,opolskie,podkarpackie,podlaskie,pomorskie,slaskie,swietokrzyskie,warminsko-mazurskie,wielkopolskie,zachodniopomorskie
2011,5782.1,488.8,334.8,301.9,246.8,360.4,356.8,496.1,160.1,290.1,188.5,364.8,454.5,117.9,235.1,738.4,647.1
2012,6952.6,637.2,404.7,358.7,290.1,428.7,448.5,581.8,206.4,334.2,226.8,447.9,548.3,150.2,278.4,890.1,720.6
2013,8082.5,771.2,501.3,374.5,312.4,501.2,530.4,673.5,254.7,401.3,265.1,531.0,642.1,182.5,321.7,1042.8,776.8
2014,9077.5,891.2,598.0,390.3,334.7,573.7,612.3,765.2,303.0,468.4,303.4,614.1,735.9,214.8,365.0,1195.5,712.0
2015,10329.5,1044.2,695.4,406.1,357.0,646.2,694.2,857.9,351.3,535.5,341.7,697.2,829.7,247.1,408.3,1348.2,869.5
2016,11258.5,1161.2,792.8,421.9,379.3,718.7,776.1,950.6,399.6,602.6,380.0,780.3,923.5,279.4,451.6,1481.9,759.0
2017,12138.8,1278.2,890.2,437.7,401.6,791.2,858.0,1043.3,447.9,669.7,418.3,863.4,1017.3,311.7,495.0,1615.6,599.7
2018,13926.7,1457.2,988.9,518.8,445.5,906.1,969.0,1194.0,465.7,799.0,495.2,975.5,1170.1,359.0,563.7,1846.4,772.6
2019,15573.5,1636.2,1087.6,599.9,489.4,1020.9,1080.0,1344.7,483.5,928.3,572.1,1087.6,1322.9,406.3,632.4,2077.3,804.4
2020,17017.3,1815.2,1186.3,681.0,533.3,1135.7,1191.0,1495.4,501.3,1057.6,648.9,1199.9,1476.7,453.6,701.1,2308.2,932.1
2021,18137.8,1994.2,1285.0,762.1,577.2,1250.5,1302.0,1646.1,519.1,1186.9,725.7,1312.2,1630.5,500.9,769.8,2539.1,1136.5
2022,20305.3,2173.2,1383.7,843.2,621.1,1365.3,1413.0,1796.8,536.9,1316.2,802.5,1424.5,1784.3,548.2,838.5,2770.0,1312.1
